Code CD Title                                         Category             Size
 138 Multimedia Mate                                  Utilities             291
 139 Windows Mate                                     Utilities             216
 140 Red Hot Shareware Disc 1                         Utilities             530
 141 Red Hot Shareware Disc 2                         Utilities             419
 142 Red Hot Shareware Disc 3                         Utilities             518
 143 High Voltage Shareware Disc 1                    Utilities             516
 144 High Voltage Shareware Disc 2                    Utilities             530
 145 High Voltage Shareware Disc 3                    Utilities             419
 146 High Voltage Shareware Disc 4                    Utilities             518
 147 Software Vault : The Windows Collection          Utilities             275
 148 Software Vault : The Games Collection            Games                 162
 149 Dr. Games for Windows                            Games                  44
 150 Games Platinum                                   Games                  75
 151 Windows Power Games                              Games                  26
 152 Games FX Vol.1                                   Games                 194
 153 Game Empire                                      Games                 217
 154 Klik 'n' Play                                    Application            70
 155 Video Cube game                                  Game                  376
 156 Music Game Interactive                           Game                  496
 157 Battlechess                                      Game                   77
 158 Cover Girl Strip Poker                           Game                  131
 159 Sherlock Holmes Consultant Detective             Game                  466
 160 Multimedia Madness Deluxe Edition CD 2           Media                 650
 161 Nautilus Intro                                   Magazine              268
 162 Nautilus CD Jun. '94 Vol.4-6                     Magazine              306
 163 Nautilus CD Nov. '94 Vol.4-11                    Magazine              279
 164 Nautilus CD Dec. '94 Vol.4-12                    Magazine              409
 165 Nautilus Backpac Vol.2 Issue 07                  Magazine              264
 166 Nautilus Backpac Vol.2 Issue 08                  Magazine              298
 167 Nautilus Backpac Vol.2 Issue 09                  Magazine              241
 168 Nautilus Backpac Vol.2 Issue 10                  Magazine              302
 169 Nautilus Backpac Vol.2 Issue 11                  Magazine              245
 170 Nautilus Backpac Vol.2 Issue 12                  Magazine              378
 171 Computer Life Superpak                           Miscellaneous         323
 172 A Guide to Multimedia                            Media                 234
 173 Micro Home Library                               Miscellaneous          24
 174 The Selectware System Vol.6 No.2                 Miscellaneous         461
 175 Buyer's Guide DOS & Windows                      Reference             630
 176 CD ROM of CD ROMS                                Reference              81
 177 The Interactive Lovers' Guide                    Reference             546
 178 MPC Wizard Ver.2.0                               Miscelaneous          526
 179 Guide To Multimedia Presentations                Education             395
 180 Multimedia Kaleidosonics                         Miscellaneous           3
 181 Insane Impersonations                            Music                 409
 182 Jokes & Pranks                                   Miscellaneous          49
 183 Language Discovery                               Education             114
 184 World Cup 1994                                   Game                  328
 185 Anecdote Vol.1 No.1                              Miscellaneous          32
 186 Anecdote Vol.1 No.2                              Miscellaneous         102
 187 Anecdote Vol.1 No.3                              Miscellaneous          28
 188 Innovators                                       Miscellaneous          32
 189 Sante                                            Health                 71
 190 Home Medical Advisor Ver.3.0                     Health                  6
 191 Food Analyst                                     Health                115
 192 Key Gourmet                                      Health                  7
 193 World Atlas                                      Education              25
 194 World Factbook 1993 Edition                      Reference             609
 195 Timetable of History Science & Innovation        Reference             138
 196 Time Almanac 1990's                              Reference             526
 197 CNN Newsroom Global View                         Reference             631
 198 Time : Man of the Year                           Reference             203
 199 UFO                                              Reference             176
 200 Hutchinson Multimedia Encyclopedia '95           Reference             677
 201 Bookshelf '94                                    Reference             498
 202 Encarta '95                                      Reference             674
 203 Typestry                                         Application           120
 203 Complete NBA Basketball                          Reference             650
 204 Great Artists & Paintings                        Reference             508
 205 Ancient Lands                                    Reference             586
 206 Sophia                                           Reference             561
 207 Art History Encyclopedia                         Reference              76
 208 The Animals                                      Reference             637
 209 TV Commercials of the 50's & 60's                Reference             563
 210 Phonebook May 1995                               Reference             471
 211 Address Bank                                     Reference             674
 212 Cinemania '94                                    Reference             676
 213 Movie Select                                     Reference             206
 214 Musical Instruments                              Music                 484
 215 All Music Guide                                  Music                 384
 216 Woodstock                                        Music                 578
 217 Jazz : A Multimedia History                      Music                 276
 218 1000 Greek Fonts                                 Fonts                 127
 219 Art Gallery                                      Reference             671
 220 Pinball Fantasies Deluxe                         Game                    7
 221 Traci I Love You                                 Adult                 598
 222 The Interactive adventures of  Seymour Butts     Adult                 653
 223 New Wave Hookers                                 Adult                 603
 224 Saturday Night Live (2 CD's)                     Entertainment         363
 225 Image Mate Silver                                Graphics              269
 226 Night Owl The Best of Shareware 15               Utilities             652
 227 Sounds Terrific (2 CD's)                         Music                1185
 228 Radio Active                                     Game                  547
 229 CD Show Vol. 1                                   Miscelaneous          231
 230 The Journeyman Project Turbo                     Game                  556
 231 A Zillion Sounds                                 Music                 112
 232 Super Games for Windows Vol. 4                   Games                  51
 233 Super Wave & MIDI Vol. 2                         Music                 213
 234 Compton's Interactive Encyclopedia               Reference             677
 235 Multimedia (110 Great CD Titles)                 Graphics              292
 236 The Personal Photo CD Software Collection        Graphics              379
 237 European Landscapes (Greek Islands)              Graphics               85
 238 Media Maestro LE                                 Application           136
 239 Night Owl The Best of Shareware 13               Utilities             644
 240 So Much Shareware 4                              Utilities             659
 241 Night Owl The Best of Games 2                    Games                 101
 242 So Much for  Windows & OS/2                      Utilities             631
 243 Night Owl The Best of BBS                        Utilities             232
 244 So Much Modem Madness                            Utilities             621
 246 Loon Magic                                       Education             153
 247 Font Pro Vol.2                                   Fonts                 227
 248 Supertoons 2                                     Entertainment         608
 249 CD Film Fest (comedy classics)                   Entertainment         520
 250 World of Motion                                  Graphics              334
 251 Beyond the Wall of Stars                         Reference             142
 252 Tom Quinn's Virtual Galaxy                       Graphics              337
 253 Matt & Joe's Cool Screen Backgrounds             Graphics              521
 254 Photo Pro Select                                 Graphics              590
 255 Mathematics Encyclopedia                         Education              12
 256 World War II                                     Reference             489
 257 Smart Photo CD                                   Graphics              449
 258 Automobile Almanac Deluxe                        Reference             205
 259 Wintools                                         Utilities              73
 260 Dinosaur Safari                                  Entertainment         242
 261 Action 100                                       Games                  78
 262 Tax Cut                                          Reference             570
 263 Medio Magazine Vol.1 Issue 1                     Magazine              653
